checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default
< 0 DM,6,Critical account,Radio/TV,1169,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Real estate,67,None,Own,2,Skilled employee,1,Yes,Yes,0
0 - 200 DM,48,Existing paid,Radio/TV,5951,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,2,Real estate,22,None,Own,1,Skilled employee,1,No,Yes,1
No checking account,12,Critical account,Education,2096,< 100 DM,4 - 7 years,2,Male : Single,None,3,Real estate,49,None,Own,1,Unskilled - resident,2,No,Yes,0
< 0 DM,42,Existing paid,Furniture/Equipment,7882,< 100 DM,4 - 7 years,2,Male : Single,Guarantor,4,Building society savings / Life insurance,45,None,Free,1,Skilled employee,2,No,Yes,0
< 0 DM,24,Delay in past,Car (new),4870,< 100 DM,1 - 4 years,3,Male : Single,None,4,Unknown / No property,53,None,Free,2,Skilled employee,2,No,Yes,1
No checking account,36,Existing paid,Education,9055,Unknown / No savings,1 - 4 years,2,Male : Single,None,4,Unknown / No property,35,None,Free,1,Unskilled - resident,2,Yes,Yes,0
No checking account,24,Existing paid,Furniture/Equipment,2835,500 - 1000 DM,>= 7 years,3,Male : Single,None,4,Building society savings / Life insurance,53,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,36,Existing paid,Car (used),6948,< 100 DM,1 - 4 years,2,Male : Single,None,2,Car or other,35,None,Rent,1,Management / Highly qualified,1,Yes,Yes,0
No checking account,12,Existing paid,Radio/TV,3059,>= 1000 DM,4 - 7 years,2,Male : Divorced/Separated,None,4,Real estate,61,None,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,30,Critical account,Car (new),5234,< 100 DM,Unemployed,4,Male : Married/Widowed,None,2,Car or other,28,None,Own,2,Management / Highly qualified,1,No,Yes,1
0 - 200 DM,12,Existing paid,Car (new),1295,< 100 DM,< 1 year,3,Female : Divorced/Separated/Married,None,1,Car or other,25,None,Rent,1,Skilled employee,1,No,Yes,1
< 0 DM,48,Existing paid,Business,4308,< 100 DM,< 1 year,3,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,24,None,Rent,1,Skilled employee,1,No,Yes,1
0 - 200 DM,12,Existing paid,Radio/TV,1567,< 100 DM,1 - 4 years,1,Female : Divorced/Separated/Married,None,1,Car or other,22,None,Own,1,Skilled employee,1,Yes,Yes,0
< 0 DM,24,Critical account,Car (new),1199,< 100 DM,>= 7 years,4,Male : Single,None,4,Car or other,60,None,Own,2,Unskilled - resident,1,No,Yes,1
< 0 DM,15,Existing paid,Car (new),1403,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,4,Car or other,28,None,Rent,1,Skilled employee,1,No,Yes,0
< 0 DM,24,Existing paid,Radio/TV,1282,100 - 500 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Car or other,32,None,Own,1,Unskilled - resident,1,No,Yes,1
No checking account,24,Critical account,Radio/TV,2424,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Building society savings / Life insurance,53,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,30,No credits / All paid,Business,8072,Unknown / No savings,< 1 year,2,Male : Single,None,3,Car or other,25,Bank,Own,3,Skilled employee,1,No,Yes,0
0 - 200 DM,24,Existing paid,Car (used),12579,< 100 DM,>= 7 years,4,Female : Divorced/Separated/Married,None,2,Unknown / No property,44,None,Free,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,24,Existing paid,Radio/TV,3430,500 - 1000 DM,>= 7 years,3,Male : Single,None,2,Car or other,31,None,Own,1,Skilled employee,2,Yes,Yes,0
No checking account,9,Critical account,Car (new),2134,< 100 DM,1 - 4 years,4,Male : Single,None,4,Car or other,48,None,Own,3,Skilled employee,1,Yes,Yes,0
< 0 DM,6,Existing paid,Radio/TV,2647,500 - 1000 DM,1 - 4 years,2,Male : Single,None,3,Real estate,44,None,Rent,1,Skilled employee,2,No,Yes,0
< 0 DM,10,Critical account,Car (new),2241,< 100 DM,< 1 year,1,Male : Single,None,3,Real estate,48,None,Rent,2,Unskilled - resident,2,No,No,0
0 - 200 DM,12,Critical account,Car (used),1804,100 - 500 DM,< 1 year,3,Male : Single,None,4,Building society savings / Life insurance,44,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,10,Critical account,Furniture/Equipment,2069,Unknown / No savings,1 - 4 years,2,Male : Married/Widowed,None,1,Car or other,26,None,Own,2,Skilled employee,1,No,No,0
< 0 DM,6,Existing paid,Furniture/Equipment,1374,< 100 DM,1 - 4 years,1,Male : Single,None,2,Real estate,36,Bank,Own,1,Unskilled - resident,1,Yes,Yes,0
No checking account,6,No credits / All paid,Radio/TV,426,< 100 DM,>= 7 years,4,Male : Married/Widowed,None,4,Car or other,39,None,Own,1,Unskilled - resident,1,No,Yes,0
>= 200 DM,12,All paid this bank,Radio/TV,409,>= 1000 DM,1 - 4 years,3,Female : Divorced/Separated/Married,None,3,Real estate,42,None,Rent,2,Skilled employee,1,No,Yes,0
0 - 200 DM,7,Existing paid,Radio/TV,2415,< 100 DM,1 - 4 years,3,Male : Single,Guarantor,2,Real estate,34,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,60,Delay in past,Business,6836,< 100 DM,>= 7 years,3,Male : Single,None,4,Unknown / No property,63,None,Own,2,Skilled employee,1,Yes,Yes,1
0 - 200 DM,18,Existing paid,Business,1913,>= 1000 DM,< 1 year,3,Male : Married/Widowed,None,3,Real estate,36,Bank,Own,1,Skilled employee,1,Yes,Yes,0
< 0 DM,24,Existing paid,Furniture/Equipment,4020,< 100 DM,1 - 4 years,2,Male : Single,None,2,Car or other,27,Stores,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,18,Existing paid,Car (new),5866,100 - 500 DM,1 - 4 years,2,Male : Single,None,2,Car or other,30,None,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,12,Critical account,Business,1264,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Unknown / No property,57,None,Rent,1,Unskilled - resident,1,No,Yes,0
>= 200 DM,12,Existing paid,Furniture/Equipment,1474,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Building society savings / Life insurance,33,Bank,Own,1,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,45,Critical account,Radio/TV,4746,< 100 DM,< 1 year,4,Male : Single,None,2,Building society savings / Life insurance,25,None,Own,2,Unskilled - resident,1,No,Yes,1
No checking account,48,Critical account,Education,6110,< 100 DM,1 - 4 years,1,Male : Single,None,3,Unknown / No property,31,Bank,Free,1,Skilled employee,1,Yes,Yes,0
>= 200 DM,18,Existing paid,Radio/TV,2100,< 100 DM,1 - 4 years,4,Male : Single,Co-applicant,2,Real estate,37,Stores,Own,1,Skilled employee,1,No,Yes,1
>= 200 DM,10,Existing paid,Domestic appliances,1225,< 100 DM,1 - 4 years,2,Male : Single,None,2,Car or other,37,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,9,Existing paid,Radio/TV,458,< 100 DM,1 - 4 years,4,Male : Single,None,3,Real estate,24,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,30,Existing paid,Radio/TV,2333,500 - 1000 DM,>= 7 years,4,Male : Single,None,2,Car or other,30,Bank,Own,1,Management / Highly qualified,1,No,Yes,0
0 - 200 DM,12,Existing paid,Radio/TV,1158,500 - 1000 DM,1 - 4 years,3,Male : Divorced/Separated,None,1,Car or other,26,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Delay in past,Repairs,6204,< 100 DM,1 - 4 years,2,Male : Single,None,4,Real estate,44,None,Own,1,Unskilled - resident,2,Yes,Yes,0
< 0 DM,30,Critical account,Car (used),6187,100 - 500 DM,4 - 7 years,1,Male : Married/Widowed,None,4,Car or other,24,None,Rent,2,Skilled employee,1,No,Yes,0
< 0 DM,48,Critical account,Car (used),6143,< 100 DM,>= 7 years,4,Female : Divorced/Separated/Married,None,4,Unknown / No property,58,Stores,Free,2,Unskilled - resident,1,No,Yes,1
No checking account,11,Critical account,Car (new),1393,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,4,Car or other,35,None,Own,2,Management / Highly qualified,1,No,Yes,0
No checking account,36,Existing paid,Radio/TV,2299,500 - 1000 DM,>= 7 years,4,Male : Single,None,4,Car or other,39,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,6,Existing paid,Car (used),1352,500 - 1000 DM,Unemployed,1,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,23,None,Rent,1,Unemployed / Unskilled - non-resident,1,Yes,Yes,0
No checking account,11,Critical account,Car (new),7228,< 100 DM,1 - 4 years,1,Male : Single,None,4,Building society savings / Life insurance,39,None,Own,2,Unskilled - resident,1,No,Yes,0
No checking account,12,Existing paid,Radio/TV,2073,100 - 500 DM,1 - 4 years,4,Female : Divorced/Separated/Married,Co-applicant,2,Real estate,28,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,24,Delay in past,Furniture/Equipment,2333,Unknown / No savings,< 1 year,4,Male : Single,None,2,Building society savings / Life insurance,29,Bank,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,27,Delay in past,Car (used),5965,< 100 DM,>= 7 years,1,Male : Single,None,2,Car or other,30,None,Own,2,Management / Highly qualified,1,Yes,Yes,0
No checking account,12,Existing paid,Radio/TV,1262,< 100 DM,1 - 4 years,3,Male : Single,None,2,Car or other,25,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,18,Existing paid,Car (used),3378,Unknown / No savings,1 - 4 years,2,Male : Single,None,1,Building society savings / Life insurance,31,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,36,Delay in past,Car (new),2225,< 100 DM,>= 7 years,4,Male : Single,None,4,Unknown / No property,57,Bank,Free,2,Skilled employee,1,Yes,Yes,1
No checking account,6,All paid this bank,Car (new),783,Unknown / No savings,1 - 4 years,1,Male : Single,Guarantor,2,Real estate,26,Stores,Own,1,Unskilled - resident,2,No,Yes,0
0 - 200 DM,12,Existing paid,Radio/TV,6468,Unknown / No savings,Unemployed,2,Male : Single,None,1,Unknown / No property,52,None,Own,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,36,Critical account,Radio/TV,9566,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,2,Car or other,31,Stores,Own,2,Skilled employee,1,No,Yes,0
>= 200 DM,18,Existing paid,Car (new),1961,< 100 DM,>= 7 years,3,Female : Divorced/Separated/Married,None,2,Car or other,23,None,Own,1,Management / Highly qualified,1,No,Yes,0
< 0 DM,36,Critical account,Furniture/Equipment,6229,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,Co-applicant,4,Unknown / No property,23,None,Rent,2,Unskilled - resident,1,Yes,Yes,1
